PLAYER_NAME,TeamWinning,TeamWins,TeamTotal
James Michael McAdoo,0.860465116,185,215
Matt Bonner,0.805232558,277,344
Tim Duncan,0.805232558,277,344
Manu Ginobili,0.794117647,351,442
Kawhi Leonard,0.782222222,352,450
Tony Parker,0.779835391,379,486
Ray Allen,0.764258555,201,263
Festus Ezeli,0.763779528,194,254
Danny Green,0.760869565,455,598
Juwan Howard,0.76076555,159,209
James Jones,0.756440281,323,427
Derek Fisher,0.755747126,263,348
Patty Mills,0.755218216,398,527
LeBron James,0.744863014,435,584
Dexter Pittman,0.744444444,268,360
Lamar Odom,0.742424242,147,198
Ronnie Brewer,0.741424802,281,379
Malcolm Miller,0.741116751,146,197
Norman Powell,0.74015748,188,254
Draymond Green,0.73902439,303,410
Shane Battier,0.738410596,223,302
David West,0.731207289,321,439
Kevin Durant,0.72875226,403,553
Fred VanVleet,0.727272727,144,198
Lucas Nogueira,0.727272727,144,198
Pascal Siakam,0.727272727,144,198
James Harden,0.724489796,426,588
Nick Collison,0.724373576,318,439
Demetrius Jackson,0.72265625,185,256
Kevon Looney,0.722007722,187,259
Cory Joseph,0.721962617,309,428
Matt Barnes,0.720454545,317,440
Andre Iguodala,0.719851577,388,539
DeJuan Blair,0.719033233,238,331
Josh Huestis,0.717277487,137,191
Jeff Ayres,0.715542522,244,341
Kendrick Perkins,0.71541502,362,506
Chris Andersen,0.714285714,315,441
Russell Westbrook,0.713207547,378,530
Tiago Splitter,0.712435233,275,386
Klay Thompson,0.711711712,316,444
Thabo Sefolosha,0.711610487,380,534
Kyle Anderson,0.711191336,197,277
Clint Capela,0.71043771,211,297
Serge Ibaka,0.710169492,419,590
Perry Jones III,0.709016393,173,244
LaMarcus Aldridge,0.706586826,354,501
Anthony Carter,0.706422018,154,218
Kyle Weaver,0.705583756,139,197
Andrew Bynum,0.704724409,179,254
Chris Paul,0.702290076,368,524
Pat Connaughton,0.70212766,165,235
Boris Diaw,0.700471698,297,424
Daequan Cook,0.697278912,205,294
Josh Powell,0.696883853,246,353
Eddy Curry,0.696335079,133,191
Damian Jones,0.695,139,200
Sam Young,0.694690265,157,226
Georges Niang,0.694444444,200,288
Rashard Lewis,0.694158076,202,291
Andre Roberson,0.693693694,231,333
Steven Adams,0.693693694,231,333
Patrick McCaw,0.692913386,176,254
Julyan Stone,0.692307692,189,273
Paul Pierce,0.692307692,270,390
Chris Bosh,0.692118227,281,406
Norris Cole,0.689855072,238,345
Renaldo Balkman,0.689189189,153,222
Al Horford,0.6875,363,528
Stephen Curry,0.687382298,365,531
Paul Millsap,0.686390533,348,507
Jonathon Simmons,0.686192469,164,239
Mickael Pietrus,0.685106383,161,235
Jaylen Brown,0.684729064,139,203
Delon Wright,0.682432432,202,296
Meyers Leonard,0.682414698,260,381
Richard Jefferson,0.680851064,352,517
Pau Gasol,0.679727428,399,587
Kyle Korver,0.678456592,422,622
Kenyon Martin,0.677902622,181,267
Chauncey Billups,0.677777778,183,270
Andrew Bogut,0.677298311,361,533
Donatas Motiejunas,0.677083333,195,288
Mickell Gladness,0.676348548,163,241
Aron Baynes,0.676020408,265,392
Udonis Haslem,0.675774135,371,549
Raul Neto,0.675555556,152,225
Tony Allen,0.675174014,291,431
Nazr Mohammed,0.675126904,266,394
Steve Novak,0.675090253,374,554
Stephen Jackson,0.675078864,214,317
Kyle Lowry,0.675,351,520
Jeremy Lamb,0.673809524,283,420
Eric Griffin,0.673469388,132,196
Patrick Beverley,0.673469388,297,441
Mario Chalmers,0.672566372,304,452
CJ McCollum,0.670731707,220,328
Bobby Brown,0.670157068,128,191
Shawn Marion,0.670138889,193,288
Dwyane Wade,0.669064748,372,556
Jordan Hamilton,0.668769716,212,317
Marquis Daniels,0.668367347,131,196
Hasheem Thabeet,0.665738162,239,359
Gerald Green,0.665362035,340,511
Jonas Valanciunas,0.664351852,287,432
Shaun Livingston,0.664025357,419,631
Paul George,0.663829787,312,470
Myles Turner,0.66367713,148,223
Tyler Hansbrough,0.663608563,217,327
Jamal Crawford,0.662420382,312,471
Mike Bibby,0.662393162,155,234
Earl Watson,0.662100457,145,219
Xavier Silas,0.661157025,160,242
Mike Miller,0.660714286,259,392
Rasual Butler,0.660427807,247,374
Rodney Carney,0.659898477,130,197
Jarell Eddie,0.659846547,258,391
Austin Daye,0.659090909,319,484
Jimmy Butler,0.658898305,311,472
Terrence Jones,0.658753709,222,337
James Anderson,0.658461538,214,325
Mike Scott,0.658018868,279,424
Hamed Haddadi,0.657894737,150,228
Marcus Smart,0.657718121,196,298
Dwight Howard,0.657692308,342,520
Trey Lyles,0.657657658,146,222
George Hill,0.65755627,409,622
Edy Tavares,0.656862745,134,204
Marcus Camby,0.65625,168,256
Damian Lillard,0.655913978,244,372
Joel Anthony,0.655045872,357,545
Danuel House Jr.,0.654237288,193,295
Carlos Boozer,0.653979239,189,289
Nene,0.653775322,355,543
Jermaine O'Neal,0.653679654,151,231
DeAndre Liggins,0.653206651,275,421
Devin Ebanks,0.652631579,124,190
Marc Gasol,0.65248227,368,564
Harrison Barnes,0.652380952,274,420
David Lee,0.651551313,273,419
Jarron Collins,0.651282051,127,195
Jason Terry,0.651162791,280,430
Jason Collins,0.650909091,179,275
Leandro Barbosa,0.650831354,274,421
Kay Felder,0.650793651,164,252
Ian Mahinmi,0.650579151,337,518
Anderson Varejao,0.649438202,289,445
Marreese Speights,0.649224806,335,516
Mason Plumlee,0.648793566,242,373
Othyus Jeffers,0.648318043,212,327
Brandon Rush,0.646420824,298,461
JJ Redick,0.646017699,365,565
Nikola Jokic,0.646017699,146,226
JR Smith,0.645038168,338,524
Boban Marjanovic,0.644859813,207,321
RJ Hunter,0.643835616,188,292
James Young,0.643442623,157,244
Troy Murphy,0.641255605,143,223
Jeff Teague,0.641129032,318,496
Bruno Caboclo,0.64075067,239,373
Acie Law,0.639484979,149,233
DeMarre Carroll,0.638841567,375,587
Ty Lawson,0.638202247,284,445
Derrick Rose,0.637795276,324,508
Will Barton,0.637254902,260,408
Maalik Wayns,0.636842105,121,190
Patrick Patterson,0.636690647,354,556
Zach Randolph,0.636165577,292,459
Dorell Wright,0.635616438,232,365
Terry Rozier,0.63559322,150,236
Sasha Vujacic,0.635135135,188,296
Raymond Felton,0.635080645,315,496
Mike Conley,0.634920635,320,504
Taj Gibson,0.634892086,353,556
Royal Ivey,0.634730539,212,334
JaMychal Green,0.634433962,269,424
Reggie Jackson,0.632967033,288,455
Jae Crowder,0.632911392,300,474
Joe Ingles,0.631578947,204,323
Daniel Orton,0.631355932,149,236
Eric Maynor,0.630890052,241,382
