PLAYER_NAME,TeamWinning,TeamWins,TeamTotal
James Michael McAdoo,0.674528302,69,212
Kevon Looney,0.642276423,88,246
Patrick McCaw,0.616326531,94,245
Demetrius Jackson,0.614457831,96,249
Fred VanVleet,0.614213198,76,197
Pascal Siakam,0.614213198,76,197
Damian Jones,0.613402062,75,194
Draymond Green,0.610421836,157,403
Juwan Howard,0.6,80,200
Malcolm Miller,0.595854922,78,193
Norman Powell,0.592,102,250
Klay Thompson,0.588100686,180,437
Kawhi Leonard,0.585034014,183,441
Jaylen Brown,0.58,84,200
Kevin Durant,0.57962963,227,540
Matt Bonner,0.576023392,145,342
Tim Duncan,0.576023392,145,342
Ray Allen,0.567049808,113,261
LeBron James,0.565062389,244,561
Danny Green,0.564846416,255,586
James Jones,0.562801932,181,414
Manu Ginobili,0.561363636,193,440
Jason Kidd,0.560209424,84,191
Andre Iguodala,0.55985267,239,543
Festus Ezeli,0.55984556,114,259
Clint Capela,0.557432432,131,296
Matt Barnes,0.549883991,194,431
Dexter Pittman,0.54674221,160,353
Serge Ibaka,0.545454545,265,583
Tony Parker,0.542443064,221,483
James Harden,0.542024014,267,583
Marcus Smart,0.54109589,134,292
Shawn Marion,0.540636042,130,283
Georges Niang,0.537931034,134,290
Ronnie Brewer,0.536842105,176,380
Cory Joseph,0.53440367,203,436
Lucas Nogueira,0.532663317,93,199
Derek Fisher,0.532110092,153,327
Thabo Sefolosha,0.531598513,252,538
Danuel House Jr.,0.530612245,138,294
Patrick Beverley,0.530373832,201,428
Montrezl Harrell,0.528634361,107,227
DeJuan Blair,0.526785714,159,336
Kyle Weaver,0.525252525,94,198
Tiago Splitter,0.524547804,184,387
Delon Wright,0.523809524,140,294
Stephen Curry,0.522641509,253,530
Patty Mills,0.521821632,252,527
Aron Baynes,0.520833333,184,384
Nick Collison,0.520833333,207,432
Pat Connaughton,0.520833333,115,240
Kendrick Perkins,0.519920319,241,502
Jeff Ayres,0.519402985,161,335
Chris Paul,0.519305019,249,518
Russell Westbrook,0.519083969,252,524
Daequan Cook,0.519031142,139,289
Kyle Lowry,0.518664047,245,509
David West,0.518099548,213,442
Xavier Silas,0.514403292,118,243
Chris Bosh,0.514066496,190,391
Shane Battier,0.513605442,143,294
Terry Rozier,0.512820513,114,234
Mike Miller,0.512690355,192,394
Perry Jones III,0.5125,117,240
Udonis Haslem,0.508411215,263,535
Marquis Daniels,0.507537688,98,199
Anderson Varejao,0.505854801,211,427
Quinn Cook,0.504398827,169,341
Isaiah Taylor,0.504347826,114,230
Dwyane Wade,0.503703704,268,540
Andre Roberson,0.503067485,162,326
Steven Adams,0.503067485,162,326
Carlos Boozer,0.5,138,276
RJ Hunter,0.5,144,288
JJ Redick,0.499108734,281,561
Tony Allen,0.498866213,221,441
Shaun Livingston,0.498417722,317,632
Joe Ingles,0.496969697,166,330
Rodney McGruder,0.496376812,139,276
Gerald Green,0.496124031,260,516
Dwight Howard,0.49609375,258,512
Andrew Bogut,0.495327103,270,535
Joel Anthony,0.494402985,271,536
Andrew Bynum,0.493670886,120,237
Kyle Korver,0.492845787,319,629
Edy Tavares,0.492682927,104,205
Eric Griffin,0.492462312,101,199
Boban Marjanovic,0.490506329,161,316
Shannon Brown,0.490463215,187,367
Nazr Mohammed,0.489637306,197,386
Mario Chalmers,0.48630137,225,438
Rashard Lewis,0.486111111,148,288
Jonas Valanciunas,0.485915493,219,426
Boris Diaw,0.485714286,216,420
Jonathon Simmons,0.485355649,123,239
Chris Andersen,0.485193622,226,439
DeShawn Stevenson,0.484848485,119,231
Jae Crowder,0.484210526,245,475
Dante Exum,0.483870968,144,279
C.J. Wilcox,0.483636364,142,275
Paul Pierce,0.48346056,203,393
James Young,0.483333333,124,240
George Hill,0.481540931,323,623
Josh Powell,0.481375358,181,349
Markel Brown,0.481171548,124,239
Mickael Pietrus,0.47826087,120,230
Pablo Prigioni,0.4778157,153,293
Steve Novak,0.475763016,292,557
Marcin Gortat,0.475675676,291,555
Jason Terry,0.475638051,226,431
Ian Clark,0.475073314,179,341
Nene,0.474910394,293,558
Kyle Anderson,0.474820144,146,278
Mickell Gladness,0.473913043,121,230
Eric Maynor,0.47382199,201,382
Briante Weber,0.473809524,221,420
Rajon Rondo,0.473591549,299,568
Norris Cole,0.472891566,175,332
Al Horford,0.472795497,281,533
Richard Jefferson,0.472275335,276,523
Jarell Eddie,0.471794872,206,390
Jamal Murray,0.471502591,102,193
Juancho Hernangomez,0.471502591,102,193
Malik Beasley,0.471502591,102,193
Leandro Barbosa,0.471014493,219,414
Jimmy Butler,0.470715835,244,461
Kyrie Irving,0.470167064,222,419
Marreese Speights,0.470134875,275,519
Malachi Richardson,0.46875,102,192
Pau Gasol,0.468694097,297,559
Bobby Brown,0.468421053,101,190
Josh Huestis,0.468421053,101,190
Tony Snell,0.465753425,195,365
Marc Gasol,0.465364121,301,563
DeAndre Liggins,0.464788732,228,426
Ryan Anderson,0.462929476,297,553
Joe Johnson,0.462633452,302,562
David Lee,0.462441315,229,426
Zaza Pachulia,0.462343096,257,478
Mike Scott,0.460465116,232,430
Patrick Patterson,0.459558824,294,544
Shavlik Randolph,0.459102902,205,379
Daniel Orton,0.458874459,125,231
Caron Butler,0.458628842,229,423
Royal Ivey,0.458579882,183,338
Jason Kapono,0.457894737,103,190
Bruno Caboclo,0.457446809,204,376
Taj Gibson,0.457407407,293,540
Troy Williams,0.457142857,152,280
Raul Neto,0.456896552,126,232
Jarnell Stokes,0.456066946,130,239
Brendan Haywood,0.455830389,154,283
Kay Felder,0.455645161,135,248
Paul Millsap,0.455238095,286,525
Terrence Jones,0.45508982,182,334
Kurt Thomas,0.455026455,103,189
Jamal Crawford,0.454935622,254,466
Julyan Stone,0.454873646,151,277
Avery Bradley,0.454710145,301,552
James Anderson,0.45398773,178,326
Justise Winslow,0.453781513,130,238
Gordon Hayward,0.453362256,252,461
Dennis Schroder,0.453172205,181,331
JaMychal Green,0.453012048,227,415
Josh Childress,0.452830189,145,265
Mike James,0.452830189,145,265
Kyrylo Fesenko,0.452173913,126,230
Paul George,0.452025586,257,469
Jordan Hamilton,0.452012384,177,323
Nikola Jokic,0.451882845,131,239
Nikola Mirotic,0.451219512,180,328
P.J. Tucker,0.451073986,230,419
Marcus Georges-Hunt,0.45106383,129,235
Austin Rivers,0.45021645,254,462
Earl Clark,0.449877751,225,409
Austin Daye,0.449367089,261,474
Derrick Rose,0.448897796,275,499
Dionte Christmas,0.448763251,156,283
Iman Shumpert,0.447735192,317,574
LaMarcus Aldridge,0.447731755,280,507
Harrison Barnes,0.447552448,237,429
PJ Hairston,0.447368421,105,190
Jermaine O'Neal,0.446808511,130,235
Glen Davis,0.446428571,186,336
Andre Miller,0.446351931,258,466
Myles Turner,0.445887446,128,231
Trey Lyles,0.445887446,128,231
Jeremy Lamb,0.445783133,230,415
Landry Fields,0.445454545,122,220
Quentin Richardson,0.445414847,127,229
Josh Smith,0.444915254,262,472
Pops Mensah-Bonsu,0.444444444,105,189
Mike Muscala,0.444148936,209,376
Matthew Dellavedova,0.444141689,204,367
Kenyon Martin,0.444055944,159,286
CJ McCollum,0.443786982,188,338
Willie Green,0.443636364,153,275
Dion Waiters,0.443127962,235,422
Rudy Gobert,0.443076923,181,325
David Stockton,0.442060086,130,233
Hedo Turkoglu,0.440625,179,320
C.J. Watson,0.440540541,207,370
Thon Maker,0.44,126,225
Luke Walton,0.439814815,121,216
Ian Mahinmi,0.439770554,293,523
Meyers Leonard,0.439588689,218,389
Luol Deng,0.439516129,278,496
Amar'e Stoudemire,0.439473684,213,380
Rodney Carney,0.439393939,111,198
Henry Walker,0.438596491,128,228
Jeff Green,0.438110749,345,614
Dirk Nowitzki,0.437636761,257,457
Eric Bledsoe,0.4375,279,496
Gary Payton II,0.437275986,157,279
Zach Randolph,0.437100213,264,469
Trevor Ariza,0.436823105,312,554
Kelly Olynyk,0.436746988,187,332
Ivica Zubac,0.436619718,120,213
Greg Smith,0.436363636,124,220
Raymond Felton,0.436149312,287,509
Larry Drew II,0.43554007,162,287
Jared Dudley,0.435129741,283,501
Nate Robinson,0.43487395,269,476
Giannis Antetokounmpo,0.434250765,185,327
Amir Johnson,0.433920705,257,454
Donatas Motiejunas,0.433566434,162,286
Kirk Hinrich,0.433333333,238,420
Goran Dragic,0.432937182,334,589
Renaldo Balkman,0.432900433,131,231
JR Smith,0.432835821,304,536
Steve Blake,0.432762836,232,409
Joe Harris,0.432142857,159,280
Luc Mbah a Moute,0.432,284,500
Mason Plumlee,0.431876607,221,389
Jack Cooley,0.431578947,108,190
DeMarre Carroll,0.431208054,339,596
Hasheem Thabeet,0.430985915,202,355
Blake Griffin,0.430167598,306,537
Tyler Hansbrough,0.429878049,187,328
Reggie Jackson,0.429844098,256,449
Drew Gooden,0.429752066,207,363
Jarron Collins,0.429319372,109,191
Channing Frye,0.429133858,290,508
Vince Carter,0.428571429,308,539
Mike Conley,0.428290766,291,509
Sam Young,0.427947598,131,229
Rodney Hood,0.427821522,218,381
Joakim Noah,0.427710843,285,498
Robin Lopez,0.427419355,284,496
Omer Asik,0.427312775,260,454
Malcolm Thomas,0.426791277,184,321
Troy Daniels,0.426540284,242,422
Othyus Jeffers,0.426426426,191,333
Stephen Jackson,0.426332288,183,319
Kevin Garnett,0.425974026,221,385
Gary Neal,0.425837321,240,418
Brandon Rush,0.424892704,268,466
Terrence Ross,0.424821002,241,419
Damion James,0.424148607,186,323
James Johnson,0.424092409,349,606
Sasha Vujacic,0.424028269,163,283
Dorell Wright,0.423913043,212,368
KJ McDaniels,0.423423423,192,333
Keith Benson,0.423255814,124,215
Damian Lillard,0.422976501,221,383
DeMar DeRozan,0.422845691,288,499
Mike Dunleavy,0.422705314,239,414
Andrei Kirilenko,0.422594142,138,239
Lou Williams,0.422222222,312,540
Jarvis Varnado,0.422145329,167,289
Tyler Zeller,0.42209073,293,507
John Lucas III,0.42206235,241,417
DeAndre Jordan,0.421933086,311,538
